Circuit: * C:\Users\USER\Desktop\ECE445_SeniorDesign\Notebooks\Kanin\Simulation\Buck-converter.asc

WARNING: Node N004 is floating.
WARNING: Node N002 is floating.

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0018 ++++++++++++++++++++to 0.0018
Heightened Def Con from 0.00183333 ++++++++++++++++++++to 0.00183333
Heightened Def Con from 0.00184375 +++++++++++++++++++to 0.00184375
Heightened Def Con from 0.00186667 ++++++++++++++++++++to 0.00186667
Heightened Def Con from 0.0019 ++++++++++++++++++++to 0.0019
Heightened Def Con from 0.00190625 +++++++++++++++++++to 0.00190625
Heightened Def Con from 0.00193333 ++++++++++++++++++++to 0.00193333
Heightened Def Con from 0.00196667 ++++++++++++++++++++to 0.00196667
Heightened Def Con from 0.00196875 +++++++++++++++++++to 0.00196875
Heightened Def Con from 0.002 ++++++++++++++++++++to 0.002
Heightened Def Con from 0.00203125 +++++++++++++++++++to 0.00203125
Heightened Def Con from 0.00203333 ++++++++++++++++++++to 0.00203333
Heightened Def Con from 0.00206667 ++++++++++++++++++++to 0.00206667
Heightened Def Con from 0.00209375 +++++++++++++++++++to 0.00209375
Heightened Def Con from 0.0021 ++++++++++++++++++++to 0.0021
Heightened Def Con from 0.00213333 ++++++++++++++++++++to 0.00213333
Heightened Def Con from 0.00215625 +++++++++++++++++++to 0.00215625
Heightened Def Con from 0.00216667 ++++++++++++++++++++to 0.00216667
Heightened Def Con from 0.0022 ++++++++++++++++++++to 0.0022
Heightened Def Con from 0.00221875 +++++++++++++++++++to 0.00221875
Heightened Def Con from 0.00223333 ++++++++++++++++++++to 0.00223333
Heightened Def Con from 0.00226667 ++++++++++++++++++++to 0.00226667
Heightened Def Con from 0.00228125 +++++++++++++++++++to 0.00228125
Heightened Def Con from 0.0023 ++++++++++++++++++++to 0.0023
Heightened Def Con from 0.00233333 ++++++++++++++++++++to 0.00233333
Heightened Def Con from 0.00234375 +++++++++++++++++++to 0.00234375
Heightened Def Con from 0.00236667 ++++++++++++++++++++to 0.00236667
Heightened Def Con from 0.0024 ++++++++++++++++++++to 0.0024
Heightened Def Con from 0.00240625 +++++++++++++++++++to 0.00240625
Heightened Def Con from 0.00243333 ++++++++++++++++++++to 0.00243333
Heightened Def Con from 0.00246667 ++++++++++++++++++++to 0.00246667
Heightened Def Con from 0.00246875 +++++++++++++++++++to 0.00246875
Heightened Def Con from 0.0025 ++++++++++++++++++++to 0.0025
Heightened Def Con from 0.00253125 +++++++++++++++++++to 0.00253125
Heightened Def Con from 0.00253333 ++++++++++++++++++++to 0.00253333
Heightened Def Con from 0.00256667 ++++++++++++++++++++to 0.00256667
Heightened Def Con from 0.00259375 +++++++++++++++++++to 0.00259375
Heightened Def Con from 0.0026 ++++++++++++++++++++to 0.0026
Heightened Def Con from 0.00263333 ++++++++++++++++++++to 0.00263333
Heightened Def Con from 0.00265625 +++++++++++++++++++to 0.00265625
Heightened Def Con from 0.00266667 ++++++++++++++++++++to 0.00266667
Heightened Def Con from 0.0027 ++++++++++++++++++++to 0.0027
Heightened Def Con from 0.00271875 +++++++++++++++++++to 0.00271875
Heightened Def Con from 0.00273333 ++++++++++++++++++++to 0.00273333
Heightened Def Con from 0.00276667 ++++++++++++++++++++to 0.00276667
Heightened Def Con from 0.00278125 +++++++++++++++++++to 0.00278125
Heightened Def Con from 0.0028 ++++++++++++++++++++to 0.0028
Heightened Def Con from 0.00283333 ++++++++++++++++++++to 0.00283333
Heightened Def Con from 0.00284375 +++++++++++++++++++to 0.00284375
Heightened Def Con from 0.00286667 ++++++++++++++++++++to 0.00286667
Heightened Def Con from 0.0029 ++++++++++++++++++++to 0.0029
Heightened Def Con from 0.00290625 +++++++++++++++++++to 0.00290625
Heightened Def Con from 0.00293333 ++++++++++++++++++++to 0.00293333
Heightened Def Con from 0.00296667 ++++++++++++++++++++to 0.00296667
Heightened Def Con from 0.00296875 +++++++++++++++++++to 0.00296875
Heightened Def Con from 0.003 ++++++++++++++++++++to 0.003
Heightened Def Con from 0.00303125 +++++++++++++++++++to 0.00303125
Heightened Def Con from 0.00303333 ++++++++++++++++++++to 0.00303333
Heightened Def Con from 0.00306667 ++++++++++++++++++++to 0.00306667
Heightened Def Con from 0.00309375 +++++++++++++++++++to 0.00309375
Heightened Def Con from 0.0031 ++++++++++++++++++++to 0.0031
Heightened Def Con from 0.00313333 ++++++++++++++++++++to 0.00313333
Heightened Def Con from 0.00315625 +++++++++++++++++++to 0.00315625
Heightened Def Con from 0.00316667 ++++++++++++++++++++to 0.00316667
Heightened Def Con from 0.0032 ++++++++++++++++++++to 0.0032
Heightened Def Con from 0.00321875 +++++++++++++++++++to 0.00321875
Heightened Def Con from 0.00323333 ++++++++++++++++++++to 0.00323333
Heightened Def Con from 0.00326667 ++++++++++++++++++++to 0.00326667
Heightened Def Con from 0.00328125 +++++++++++++++++++to 0.00328125
Heightened Def Con from 0.0033 ++++++++++++++++++++to 0.0033
Heightened Def Con from 0.00333333 ++++++++++++++++++++to 0.00333333
Heightened Def Con from 0.00334375 +++++++++++++++++++to 0.00334375
Heightened Def Con from 0.00336667 ++++++++++++++++++++to 0.00336667
Heightened Def Con from 0.0034 ++++++++++++++++++++to 0.0034
Heightened Def Con from 0.00340625 +++++++++++++++++++to 0.00340625
Heightened Def Con from 0.00343333 ++++++++++++++++++++to 0.00343333
Heightened Def Con from 0.00346667 ++++++++++++++++++++to 0.00346667
Heightened Def Con from 0.00346875 +++++++++++++++++++to 0.00346875
Heightened Def Con from 0.0035 ++++++++++++++++++++to 0.0035
Heightened Def Con from 0.00353125 +++++++++++++++++++to 0.00353125
Heightened Def Con from 0.00353333 ++++++++++++++++++++to 0.00353333
Heightened Def Con from 0.00356667 ++++++++++++++++++++to 0.00356667
Heightened Def Con from 0.00359375 +++++++++++++++++++to 0.00359375
Heightened Def Con from 0.0036 ++++++++++++++++++++to 0.0036
Heightened Def Con from 0.00363333 ++++++++++++++++++++to 0.00363333
Heightened Def Con from 0.00365625 +++++++++++++++++++to 0.00365625
Heightened Def Con from 0.00366667 ++++++++++++++++++++to 0.00366667
Heightened Def Con from 0.0037 ++++++++++++++++++++to 0.0037
Heightened Def Con from 0.00371875 +++++++++++++++++++to 0.00371875
Heightened Def Con from 0.00373333 ++++++++++++++++++++to 0.00373333
Heightened Def Con from 0.00376667 ++++++++++++++++++++to 0.00376667
Heightened Def Con from 0.00378125 +++++++++++++++++++to 0.00378125
Heightened Def Con from 0.0038 ++++++++++++++++++++to 0.0038
Heightened Def Con from 0.00383333 ++++++++++++++++++++to 0.00383333
Heightened Def Con from 0.00384375 +++++++++++++++++++to 0.00384375
Heightened Def Con from 0.00386667 ++++++++++++++++++++to 0.00386667
Heightened Def Con from 0.0039 ++++++++++++++++++++to 0.0039
Heightened Def Con from 0.00390625 +++++++++++++++++++to 0.00390625
Heightened Def Con from 0.00393333 ++++++++++++++++++++to 0.00393333
Heightened Def Con from 0.00396667 ++++++++++++++++++++to 0.00396667
Heightened Def Con from 0.00396875 +++++++++++++++++++to 0.00396875
Heightened Def Con from 0.004 ++++++++++++++++++++to 0.004
Heightened Def Con from 0.00403125 +++++++++++++++++++to 0.00403125
Heightened Def Con from 0.00403333 ++++++++++++++++++++to 0.00403333
Heightened Def Con from 0.00406667 ++++++++++++++++++++to 0.00406667
Heightened Def Con from 0.00409375 +++++++++++++++++++to 0.00409375
Heightened Def Con from 0.0041 ++++++++++++++++++++to 0.0041
Heightened Def Con from 0.00413333 ++++++++++++++++++++to 0.00413333
Heightened Def Con from 0.00415625 +++++++++++++++++++to 0.00415625
Heightened Def Con from 0.00416667 ++++++++++++++++++++to 0.00416667
Heightened Def Con from 0.0042 ++++++++++++++++++++to 0.0042
Heightened Def Con from 0.00421875 +++++++++++++++++++to 0.00421875
Heightened Def Con from 0.00423333 ++++++++++++++++++++to 0.00423333
Heightened Def Con from 0.00426667 ++++++++++++++++++++to 0.00426667
Heightened Def Con from 0.00428125 +++++++++++++++++++to 0.00428125
Heightened Def Con from 0.0043 ++++++++++++++++++++to 0.0043
Heightened Def Con from 0.00433333 ++++++++++++++++++++to 0.00433333
Heightened Def Con from 0.00434375 +++++++++++++++++++to 0.00434375
Heightened Def Con from 0.00436667 ++++++++++++++++++++to 0.00436667
Heightened Def Con from 0.0044 ++++++++++++++++++++to 0.0044
Heightened Def Con from 0.00440625 +++++++++++++++++++to 0.00440625
Heightened Def Con from 0.00443333 ++++++++++++++++++++to 0.00443333
Heightened Def Con from 0.00446667 ++++++++++++++++++++to 0.00446667
Heightened Def Con from 0.00446875 +++++++++++++++++++to 0.00446875
Heightened Def Con from 0.0045 ++++++++++++++++++++to 0.0045
Heightened Def Con from 0.00453125 +++++++++++++++++++to 0.00453125
Heightened Def Con from 0.00453333 ++++++++++++++++++++to 0.00453333
Heightened Def Con from 0.00456667 ++++++++++++++++++++to 0.00456667
Heightened Def Con from 0.00459375 +++++++++++++++++++to 0.00459375
Heightened Def Con from 0.0046 ++++++++++++++++++++to 0.0046
Heightened Def Con from 0.00463333 ++++++++++++++++++++to 0.00463333
Heightened Def Con from 0.00465625 +++++++++++++++++++to 0.00465625
Heightened Def Con from 0.00466667 ++++++++++++++++++++to 0.00466667
Heightened Def Con from 0.0047 ++++++++++++++++++++to 0.0047
Heightened Def Con from 0.00471875 +++++++++++++++++++to 0.00471875
Heightened Def Con from 0.00473333 ++++++++++++++++++++to 0.00473333
Heightened Def Con from 0.00476667 ++++++++++++++++++++to 0.00476667
Heightened Def Con from 0.00478125 +++++++++++++++++++to 0.00478125
Heightened Def Con from 0.0048 ++++++++++++++++++++to 0.0048
Heightened Def Con from 0.00483333 ++++++++++++++++++++to 0.00483333
Heightened Def Con from 0.00484375 +++++++++++++++++++to 0.00484375
Heightened Def Con from 0.00486667 ++++++++++++++++++++to 0.00486667
Heightened Def Con from 0.0049 ++++++++++++++++++++to 0.0049
Heightened Def Con from 0.00490625 +++++++++++++++++++to 0.00490625
Heightened Def Con from 0.00493333 ++++++++++++++++++++to 0.00493333
Heightened Def Con from 0.00496667 ++++++++++++++++++++to 0.00496667
Heightened Def Con from 0.00496875 +++++++++++++++++++to 0.00496875
Heightened Def Con from 0.005 ++++++++++++++++++++to 0.005
Heightened Def Con from 0.00503125 +++++++++++++++++++to 0.00503125
Heightened Def Con from 0.00503333 ++++++++++++++++++++to 0.00503333
Heightened Def Con from 0.00506667 ++++++++++++++++++++to 0.00506667
Heightened Def Con from 0.00509375 +++++++++++++++++++to 0.00509375
Heightened Def Con from 0.0051 ++++++++++++++++++++to 0.0051
Heightened Def Con from 0.00513333 ++++++++++++++++++++to 0.00513333
Heightened Def Con from 0.00515625 +++++++++++++++++++to 0.00515625
Heightened Def Con from 0.00516667 ++++++++++++++++++++to 0.00516667
Heightened Def Con from 0.0052 ++++++++++++++++++++to 0.0052
Heightened Def Con from 0.00521875 +++++++++++++++++++to 0.00521875
Heightened Def Con from 0.00523333 ++++++++++++++++++++to 0.00523333
Heightened Def Con from 0.00526667 ++++++++++++++++++++to 0.00526667
Heightened Def Con from 0.00528125 +++++++++++++++++++to 0.00528125
Heightened Def Con from 0.0053 ++++++++++++++++++++to 0.0053
Heightened Def Con from 0.00533333 ++++++++++++++++++++to 0.00533333
Heightened Def Con from 0.00534375 +++++++++++++++++++to 0.00534375
Heightened Def Con from 0.00536667 ++++++++++++++++++++to 0.00536667
Heightened Def Con from 0.0054 ++++++++++++++++++++to 0.0054
Heightened Def Con from 0.00540625 +++++++++++++++++++to 0.00540625
Heightened Def Con from 0.00543333 ++++++++++++++++++++to 0.00543333
Heightened Def Con from 0.00546667 ++++++++++++++++++++to 0.00546667
Heightened Def Con from 0.00546875 +++++++++++++++++++to 0.00546875
Heightened Def Con from 0.0055 ++++++++++++++++++++to 0.0055
Heightened Def Con from 0.00553125 +++++++++++++++++++to 0.00553125
Heightened Def Con from 0.00553333 ++++++++++++++++++++to 0.00553333
Heightened Def Con from 0.00556667 ++++++++++++++++++++to 0.00556667
Heightened Def Con from 0.00559375 +++++++++++++++++++to 0.00559375
Heightened Def Con from 0.0056 ++++++++++++++++++++to 0.0056
Heightened Def Con from 0.00563333 ++++++++++++++++++++to 0.00563333
Heightened Def Con from 0.00565625 +++++++++++++++++++to 0.00565625
Heightened Def Con from 0.00566667 ++++++++++++++++++++to 0.00566667
Heightened Def Con from 0.0057 ++++++++++++++++++++to 0.0057
Heightened Def Con from 0.00571875 +++++++++++++++++++to 0.00571875
Heightened Def Con from 0.00573333 ++++++++++++++++++++to 0.00573333
Heightened Def Con from 0.00576667 ++++++++++++++++++++to 0.00576667
Heightened Def Con from 0.00578125 +++++++++++++++++++to 0.00578125
Heightened Def Con from 0.0058 ++++++++++++++++++++to 0.0058
Heightened Def Con from 0.00583333 ++++++++++++++++++++to 0.00583333
Heightened Def Con from 0.00584375 +++++++++++++++++++to 0.00584375
Heightened Def Con from 0.00586667 ++++++++++++++++++++to 0.00586667
Heightened Def Con from 0.0059 ++++++++++++++++++++to 0.0059
Heightened Def Con from 0.00590625 +++++++++++++++++++to 0.00590625
Heightened Def Con from 0.00593333 ++++++++++++++++++++to 0.00593333
Heightened Def Con from 0.00596667 ++++++++++++++++++++to 0.00596667
Heightened Def Con from 0.00596875 +++++++++++++++++++to 0.00596875
Heightened Def Con from 0.006 ++++++++++++++++++++to 0.006
Heightened Def Con from 0.00603125 +++++++++++++++++++to 0.00603125
Heightened Def Con from 0.00603333 ++++++++++++++++++++to 0.00603333
Heightened Def Con from 0.00606667 ++++++++++++++++++++to 0.00606667
Heightened Def Con from 0.00609375 +++++++++++++++++++to 0.00609375
Heightened Def Con from 0.0061 ++++++++++++++++++++to 0.0061
Heightened Def Con from 0.00613333 ++++++++++++++++++++to 0.00613333
Heightened Def Con from 0.00615625 +++++++++++++++++++to 0.00615625
Heightened Def Con from 0.00616667 ++++++++++++++++++++to 0.00616667
Heightened Def Con from 0.0062 ++++++++++++++++++++to 0.0062
Heightened Def Con from 0.00621875 +++++++++++++++++++to 0.00621875
Heightened Def Con from 0.00623333 ++++++++++++++++++++to 0.00623333
Heightened Def Con from 0.00626667 ++++++++++++++++++++to 0.00626667
Heightened Def Con from 0.00628125 +++++++++++++++++++to 0.00628125
Heightened Def Con from 0.0063 ++++++++++++++++++++to 0.0063
Heightened Def Con from 0.00633333 ++++++++++++++++++++to 0.00633333
Heightened Def Con from 0.00634375 +++++++++++++++++++to 0.00634375
Heightened Def Con from 0.00636667 ++++++++++++++++++++to 0.00636667
Heightened Def Con from 0.0064 ++++++++++++++++++++to 0.0064
Heightened Def Con from 0.00640625 +++++++++++++++++++to 0.00640625
Heightened Def Con from 0.00643333 ++++++++++++++++++++to 0.00643333
Heightened Def Con from 0.00646667 ++++++++++++++++++++to 0.00646667
Heightened Def Con from 0.00646875 +++++++++++++++++++to 0.00646875
Heightened Def Con from 0.0065 ++++++++++++++++++++to 0.0065
Heightened Def Con from 0.00653125 +++++++++++++++++++to 0.00653125
Heightened Def Con from 0.00653333 ++++++++++++++++++++to 0.00653333
Heightened Def Con from 0.00656667 ++++++++++++++++++++to 0.00656667
Heightened Def Con from 0.00659375 +++++++++++++++++++to 0.00659375
Heightened Def Con from 0.0066 ++++++++++++++++++++to 0.0066
Heightened Def Con from 0.00663333 ++++++++++++++++++++to 0.00663333
Heightened Def Con from 0.00665625 +++++++++++++++++++to 0.00665625
Heightened Def Con from 0.00666667 ++++++++++++++++++++to 0.00666667
Heightened Def Con from 0.0067 ++++++++++++++++++++to 0.0067
Heightened Def Con from 0.00671875 +++++++++++++++++++to 0.00671875
Heightened Def Con from 0.00673333 ++++++++++++++++++++to 0.00673333
Heightened Def Con from 0.00676667 ++++++++++++++++++++to 0.00676667
Heightened Def Con from 0.00678125 +++++++++++++++++++to 0.00678125
Heightened Def Con from 0.0068 ++++++++++++++++++++to 0.0068
Heightened Def Con from 0.00683333 ++++++++++++++++++++to 0.00683333
Heightened Def Con from 0.00684375 +++++++++++++++++++to 0.00684375
Heightened Def Con from 0.00686667 ++++++++++++++++++++to 0.00686667
Heightened Def Con from 0.0069 ++++++++++++++++++++to 0.0069
Heightened Def Con from 0.00690625 +++++++++++++++++++to 0.00690625
Heightened Def Con from 0.00693333 ++++++++++++++++++++to 0.00693333
Heightened Def Con from 0.00696667 ++++++++++++++++++++to 0.00696667
Heightened Def Con from 0.00696875 +++++++++++++++++++to 0.00696875
Heightened Def Con from 0.007 ++++++++++++++++++++to 0.007
Heightened Def Con from 0.00703125 +++++++++++++++++++to 0.00703125
Heightened Def Con from 0.00703333 ++++++++++++++++++++to 0.00703333
Heightened Def Con from 0.00706667 ++++++++++++++++++++to 0.00706667
Heightened Def Con from 0.00709375 +++++++++++++++++++to 0.00709375
Heightened Def Con from 0.0071 ++++++++++++++++++++to 0.0071
Heightened Def Con from 0.00713333 ++++++++++++++++++++to 0.00713333
Heightened Def Con from 0.00715625 +++++++++++++++++++to 0.00715625
Heightened Def Con from 0.00716667 ++++++++++++++++++++to 0.00716667
Heightened Def Con from 0.0072 ++++++++++++++++++++to 0.0072
Heightened Def Con from 0.00721875 +++++++++++++++++++to 0.00721875
Heightened Def Con from 0.00723333 ++++++++++++++++++++to 0.00723333
Heightened Def Con from 0.00726667 ++++++++++++++++++++to 0.00726667
Heightened Def Con from 0.00728125 +++++++++++++++++++to 0.00728125
Heightened Def Con from 0.0073 ++++++++++++++++++++to 0.0073
Heightened Def Con from 0.00733333 ++++++++++++++++++++to 0.00733333
Heightened Def Con from 0.00734375 +++++++++++++++++++to 0.00734375
Heightened Def Con from 0.00736667 ++++++++++++++++++++to 0.00736667
Heightened Def Con from 0.0074 ++++++++++++++++++++to 0.0074
Heightened Def Con from 0.00740625 +++++++++++++++++++to 0.00740625
Heightened Def Con from 0.00743333 ++++++++++++++++++++to 0.00743333
Heightened Def Con from 0.00746667 ++++++++++++++++++++to 0.00746667
Heightened Def Con from 0.00746875 +++++++++++++++++++to 0.00746875
Heightened Def Con from 0.0075 ++++++++++++++++++++to 0.0075
Heightened Def Con from 0.00753125 +++++++++++++++++++to 0.00753125
Heightened Def Con from 0.00753333 ++++++++++++++++++++to 0.00753333
Heightened Def Con from 0.00756667 ++++++++++++++++++++to 0.00756667
Heightened Def Con from 0.00759375 +++++++++++++++++++to 0.00759375
Heightened Def Con from 0.0076 ++++++++++++++++++++to 0.0076
Heightened Def Con from 0.00763333 ++++++++++++++++++++to 0.00763333
Heightened Def Con from 0.00765625 +++++++++++++++++++to 0.00765625
Heightened Def Con from 0.00766667 ++++++++++++++++++++to 0.00766667
Heightened Def Con from 0.0077 ++++++++++++++++++++to 0.0077
Heightened Def Con from 0.00771875 +++++++++++++++++++to 0.00771875
Heightened Def Con from 0.00773333 ++++++++++++++++++++to 0.00773333
Heightened Def Con from 0.00776667 ++++++++++++++++++++to 0.00776667
Heightened Def Con from 0.00778125 +++++++++++++++++++to 0.00778125
Heightened Def Con from 0.0078 ++++++++++++++++++++to 0.0078
Heightened Def Con from 0.00783333 ++++++++++++++++++++to 0.00783333
Heightened Def Con from 0.00784375 +++++++++++++++++++to 0.00784375
Heightened Def Con from 0.00786667 ++++++++++++++++++++to 0.00786667
Heightened Def Con from 0.0079 ++++++++++++++++++++to 0.0079
Heightened Def Con from 0.00790625 +++++++++++++++++++to 0.00790625
Heightened Def Con from 0.00793333 ++++++++++++++++++++to 0.00793333
Heightened Def Con from 0.00796667 ++++++++++++++++++++to 0.00796667
Heightened Def Con from 0.00796875 +++++++++++++++++++to 0.00796875
Heightened Def Con from 0.008 ++++++++++++++++++++to 0.008
Heightened Def Con from 0.00803125 +++++++++++++++++++to 0.00803125
Heightened Def Con from 0.00803333 ++++++++++++++++++++to 0.00803333
Heightened Def Con from 0.00806667 ++++++++++++++++++++to 0.00806667
Heightened Def Con from 0.00809375 +++++++++++++++++++to 0.00809375
Heightened Def Con from 0.0081 ++++++++++++++++++++to 0.0081
Heightened Def Con from 0.00813333 ++++++++++++++++++++to 0.00813333
Heightened Def Con from 0.00815625 +++++++++++++++++++to 0.00815625
Heightened Def Con from 0.00816667 ++++++++++++++++++++to 0.00816667
Heightened Def Con from 0.0082 ++++++++++++++++++++to 0.0082
Heightened Def Con from 0.00821875 +++++++++++++++++++to 0.00821875
Heightened Def Con from 0.00823333 ++++++++++++++++++++to 0.00823333
Heightened Def Con from 0.00826667 ++++++++++++++++++++to 0.00826667
Heightened Def Con from 0.00828125 +++++++++++++++++++to 0.00828125
Heightened Def Con from 0.0083 ++++++++++++++++++++to 0.0083
Heightened Def Con from 0.00833333 ++++++++++++++++++++to 0.00833333
Heightened Def Con from 0.00834375 +++++++++++++++++++to 0.00834375
Heightened Def Con from 0.00836667 ++++++++++++++++++++to 0.00836667
Heightened Def Con from 0.0084 ++++++++++++++++++++to 0.0084
Heightened Def Con from 0.00840625 +++++++++++++++++++to 0.00840625
Heightened Def Con from 0.00843333 ++++++++++++++++++++to 0.00843333
Heightened Def Con from 0.00846667 ++++++++++++++++++++to 0.00846667
Heightened Def Con from 0.00846875 +++++++++++++++++++to 0.00846875
Heightened Def Con from 0.0085 ++++++++++++++++++++to 0.0085
Heightened Def Con from 0.00853125 +++++++++++++++++++to 0.00853125
Heightened Def Con from 0.00853333 ++++++++++++++++++++to 0.00853333
Heightened Def Con from 0.00856667 ++++++++++++++++++++to 0.00856667
Heightened Def Con from 0.00859375 +++++++++++++++++++to 0.00859375
Heightened Def Con from 0.0086 ++++++++++++++++++++to 0.0086
Heightened Def Con from 0.00863333 ++++++++++++++++++++to 0.00863333
Heightened Def Con from 0.00865625 +++++++++++++++++++to 0.00865625
Heightened Def Con from 0.00866667 ++++++++++++++++++++to 0.00866667
Heightened Def Con from 0.0087 ++++++++++++++++++++to 0.0087
